2004_08_02,31.18,35.18,29.70,34.49,13616700,17.25
2004_07_01,32.10,33.63,28.74,32.34,16904000,16.17
2004_06_01,27.79,34.19,27.61,32.54,14626300,16.27
2004_05_03,26.00,28.78,25.50,28.06,9732100,14.03
2004_04_01,26.89,29.58,25.49,25.78,15980700,12.89
2004_03_01,24.10,28.14,23.60,27.04,18659700,13.52
2004_02_02,22.46,24.10,21.70,23.92,10133200,11.96
2004_01_02,21.55,24.84,21.18,22.56,14487600,11.28
2003_12_01,21.04,21.90,19.25,21.37,9136800,10.69
2003_11_03,22.83,23.30,19.85,20.91,9492800,10.45
2003_10_01,20.71,25.01,20.19,22.89,11270700,11.44
2003_09_02,22.66,23.32,20.15,20.72,9579700,10.36
2003_08_01,21.00,22.85,19.42,22.61,7773300,11.31
2003_07_01,18.87,21.57,18.51,21.08,8960600,10.54
2003_06_02,18.10,19.69,16.63,19.06,10774600,9.53
2003_05_01,14.25,19.01,14.00,17.95,19037900,8.98
2003_04_01,14.20,14.95,12.72,14.22,14002500,7.11
2003_03_03,15.01,15.16,14.04,14.14,7287500,7.07
2003_02_03,14.41,15.30,13.80,15.01,8100300,7.51
2003_01_02,14.36,15.38,13.56,14.36,10862300,7.18
2002_12_02,15.90,16.10,13.78,14.33,8046200,7.16
2002_11_01,15.94,17.38,15.01,15.50,8348400,7.75
2002_10_01,14.59,16.44,13.36,16.07,10725500,8.03
2002_09_03,14.49,15.19,14.05,14.50,9874100,7.25
2002_08_01,15.11,16.25,13.97,14.75,8677200,7.38
2002_07_01,17.71,18.79,13.80,15.26,13683600,7.63
2002_06_03,23.39,23.45,15.98,17.72,16031900,8.86
2002_05_01,24.29,25.98,22.14,23.30,10294800,11.65
2002_04_01,23.38,26.17,23.00,24.27,10882700,12.14
2002_03_01,21.93,25.30,21.82,23.67,9691100,11.84
2002_02_01,24.34,25.98,20.94,21.70,15590900,10.85
2002_01_02,22.05,24.73,20.25,24.72,15278600,12.36
2001_12_03,21.06,24.03,20.09,21.90,8513600,10.95
2001_11_01,17.65,21.55,17.25,21.30,9649000,10.65
2001_10_01,15.49,19.42,14.83,17.56,12139700,8.78
2001_09_04,18.50,19.08,14.68,15.51,14039600,7.76
2001_08_01,19.01,19.90,17.28,18.55,8301600,9.27
2001_07_02,23.64,25.22,17.85,18.79,15119200,9.40
2001_06_01,20.13,25.10,19.35,23.25,13866700,11.62
2001_05_01,25.41,26.70,19.30,19.95,12843000,9.98
2001_04_02,22.09,27.12,18.75,25.49,20810300,12.74
2001_03_01,17.81,23.75,17.19,22.07,18184800,11.03
2001_02_01,20.69,21.94,18.00,18.25,14163200,9.12
2001_01_02,14.88,22.50,14.44,21.62,24563400,10.81
2000_12_01,17.00,17.50,13.63,14.88,16952000,7.44
2000_11_01,19.44,23.00,16.12,16.50,15818500,8.25
2000_10_02,26.69,26.75,17.50,19.56,37005800,9.78
2000_09_07,59.13,62.56,25.37,25.75,44181900,12.88
